노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1000001300,신설동역,101,도로교차점,1,유,127.0232274,37.5755809,202051.824057,452892.926984
1000001400,홍지문터널북측,104,도로시설물,0,무,126.9720038,37.6059011,197527.925278,456258.244559
1000001600,청계3가,101,도로교차점,1,유,126.992352,37.5685177,199324.34202,452108.771316
1000002000,청계광장,101,도로교차점,0,무,126.9771061,37.5690312,197977.458986,452165.982278
1000002500,종로구청,101,도로교차점,0,무,126.9792421,37.5724693,198166.251907,452547.532554
1000002700,낙원상가,101,도로교차점,1,유,126.9878067,37.5726206,198922.84666,452564.186785
1000003000,서울지방국세청,101,도로교차점,0,무,126.9793207,37.5743517,198173.236921,452756.447972
1000003600,광화문,101,도로교차점,0,무,126.9768504,37.5755726,197955.046736,452892.009278
1000004600,아트선재센타,101,도로교차점,1,유,126.9822375,37.5795591,198431.012379,453334.355131
1000004700,청룡사앞,101,도로교차점,0,무,127.0172873,37.5803003,201527.000318,453416.61227
1000004800,창신역,104,도로시설물,0,무,127.0152386,37.5801902,201346.041092,453404.368031
1000005200,효자동삼거리,101,도로교차점,0,무,126.9736832,37.5836029,197675.526453,453783.357033
1000005400,삼청동주민센터,101,도로교차점,0,무,126.9818519,37.5838629,198397.039811,453812.034837
1000005500,청운초등학교앞,101,도로교차점,0,무,126.9701718,37.5850829,197365.420937,453947.709914
1000005700,경복고교,101,도로교차점,1,유,126.9728219,37.5863814,197599.537968,454091.755983
1000005800,삼청공원입구,101,도로교차점,0,무,126.9816947,37.5869838,198383.228534,454158.428029
1000006000,창의문앞,101,도로교차점,0,무,126.9658285,37.5925243,196982.105067,454773.747347
1000006100,부암동주민센터,101,도로교차점,0,무,126.9644677,37.5928149,196861.931517,454806.047304
1000006200,북악산로입구,101,도로교차점,0,무,126.9665521,37.5931481,197046.028528,454842.962485
1000006300,세검정,101,도로교차점,1,유,126.9579421,37.6000005,196285.97395,455603.811728
1000006600,수표교(북단),101,도로교차점,0,무,126.989565,37.5683144,199078.120277,452086.228771
1000006700,동광빌딩,101,도로교차점,0,무,126.9857167,37.5685216,198738.148535,452109.268733
1000006800,세운교(북단),101,도로교차점,1,유,126.9953108,37.5685844,199585.734134,452116.156167
1000006900,강북삼성병원뒤,101,도로교차점,0,무,126.9677277,37.5692152,197148.94702,452186.649867
1000007000,동아일보사,101,도로교차점,1,유,126.9784137,37.5693176,198092.987245,452197.745577
1000007100,종로1가_남대문로_진출,101,도로교차점,0,무,126.9829279,37.5696038,198491.792505,452229.428472
1000007200,종로1가_남대문로_진입,101,도로교차점,0,무,126.9827935,37.5696198,198479.924033,452231.200302
1000007300,세종로사거리_태평로_진입,101,도로교차점,0,무,126.9769535,37.5695821,197963.994362,452227.127628
1000007400,세종로사거리_태평로_진출,101,도로교차점,0,무,126.9770893,37.5695835,197975.993393,452227.28014
1000007500,서울시교육위원회입구,101,도로교차점,0,무,126.9659601,37.5699861,196992.821375,452272.269205
1000007600,세종로사거리_일반국도6호선_진,101,도로교차점,0,무,126.976202,37.5701151,197897.617312,452286.298843
1000007700,종로1가_일반국도6호선_진출_2,101,도로교차점,0,무,126.982211,37.5701759,198428.472713,452292.929425
1000007800,종로1가_일반국도6호선_진입_1,101,도로교차점,0,무,126.9837095,37.5701683,198560.853032,452292.06456
1000007900,새문안교회,101,도로교차점,1,유,126.9744486,37.5701543,197742.718668,452290.69663
1000008000,세종로사거리_일반국도6호선_진,101,도로교차점,0,무,126.9777588,37.5701341,198035.155445,452288.373838
1000008100,서울역사박물관,101,도로교차점,1,유,126.9719616,37.5701118,197523.008229,452286.039954
1000008200,서울역사박물관,101,도로교차점,1,유,126.9725972,37.57017,197579.166154,452292.482572
1000008300,새문안교회,101,도로교차점,1,유,126.9749877,37.5701582,197790.343764,452291.119965
1000008400,새문안교회,101,도로교차점,1,유,126.9755819,37.5701641,197842.837202,452291.754966
1000008500,종로2가,101,도로교차점,1,유,126.9876851,37.5702055,198912.073507,452296.147058
1000008600,종로구청입구,101,도로교차점,1,유,126.9793148,37.5702029,198172.614528,452295.988308
1000008700,종로1가,101,도로교차점,1,유,126.9829758,37.5702264,198496.041842,452298.528313
1000008800,광화문우체국,101,도로교차점,1,유,126.9785092,37.5701961,198101.450351,452295.24183
1000008900,SK빌딩,101,도로교차점,1,유,126.9810231,37.5702166,198323.533163,452297.469977
1000009000,세종대로사거리,101,도로교차점,1,유,126.977029,37.5701758,197970.684124,452293.024968
1000009100,종각지하쇼핑센터,101,도로교차점,1,유,126.9857534,37.5702077,198741.416916,452296.411642
1000009200,종로4가_배오개길_진입,101,도로교차점,0,무,126.9977511,37.5702192,199801.32482,452297.594871
1000009300,세종로사거리_일반국도6호선_진,101,도로교차점,0,무,126.9762006,37.5702232,197897.498113,452298.298251
1000009400,기업은행,101,도로교차점,1,유,126.9894282,37.5702868,199066.061315,452305.142909
1000009500,종로1가_일반국도6호선_진입_2,101,도로교차점,0,무,126.9822091,37.570284,198428.305773,452304.928264
1000009600,종로1가_일반국도6호선_진출_1,101,도로교차점,0,무,126.9837104,37.5702764,198560.938866,452304.064253
1000009700,세종로사거리_일반국도6호선_진,101,도로교차점,0,무,126.977756,37.5702422,198034.904192,452300.371207
1000009800,종로3가,101,도로교차점,1,유,126.9921386,37.5704205,199305.509711,452319.959606
1000009900,동대문로터리_흥인지문_진입,101,도로교차점,0,무,127.0093873,37.5706632,200829.297352,452346.909041
1000010000,종묘공원,101,도로교차점,1,유,126.9937799,37.5705064,199450.501667,452329.484625
1000010100,세운상가,101,도로교차점,1,유,126.9950438,37.5705684,199562.156057,452336.363805
1000010200,세종로사거리_일반국도48호선_진,101,도로교차점,0,무,126.9766952,37.5708827,197941.207972,452371.491776
1000010300,세종로사거리_일반국도48호선_진,101,도로교차점,0,무,126.977257,37.5708747,197990.843905,452370.592191
1000010400,종로4가_일반국도6호선_진출,101,도로교차점,0,무,126.9969799,37.5706375,199733.193755,452344.026614
1000010500,종묘귀금속전문백화점,101,도로교차점,1,유,126.9964334,37.5706543,199684.92297,452345.888824
1000010600,박시우치과의원,101,도로교차점,0,무,126.9719684,37.5706371,197523.626212,452344.343172
1000010700,종로1가_우정국로_진입,101,도로교차점,0,무,126.9830879,37.570752,198505.948679,452356.856774
1000010800,종로1가_우정국로_진출,101,도로교차점,0,무,126.9829521,37.5707555,198493.95523,452357.25326
1000010900,종로4가_일반국도6호선_진입,101,도로교차점,0,무,126.9970324,37.5707486,199737.833644,452356.355297
1000011000,종로4가,101,도로교차점,1,유,126.9977692,37.5707425,199802.927372,452355.678427
1000011100,종로천주교회,101,도로교차점,0,무,126.9964213,37.5708916,199683.850923,452372.221051
1000011200,종로5가,101,도로교차점,1,유,127.0019255,37.5710013,200170.103627,452384.3968
1000011300,동대문로터리_일반국도6호선_진,101,도로교차점,0,무,127.0080672,37.5710785,200712.671758,452392.997053
1000011400,종로6가,101,도로교차점,1,유,127.0067086,37.5711036,200592.644056,452395.773907
1000011500,탑골공원,101,도로교차점,1,유,126.987659,37.5710973,198909.776217,452395.117697
1000011600,종로4가_창경궁로_진출,101,도로교차점,0,무,126.9976705,37.5712459,199794.210283,452411.549191
1000011700,흥인지문,101,도로교차점,1,유,127.0090552,37.5713478,200799.94408,452422.889467
1000011800,행촌빌딩,101,도로교차점,0,무,126.9625571,37.5715909,196692.254107,452450.492895
1000011900,세종아파트앞,101,도로교차점,0,무,126.9727045,37.5716492,197588.687384,452456.659022
1000012000,로얄빌딩앞,101,도로교차점,0,무,126.9748337,37.5716307,197776.788871,452454.55117
1000012100,교보빌딩앞,101,도로교차점,0,무,126.9766662,37.5716494,197938.667967,452456.581947
1000012200,세종로복지센타,101,도로교차점,1,유,126.9712332,37.5717748,197458.723791,452470.62905
1000012300,코리아빌딩,101,도로교차점,1,유,127.0066921,37.571813,200591.184719,452474.50071
1000012400,조계사앞,101,도로교차점,1,유,126.9830374,37.5720298,198501.512734,452498.683759
1000012500,황학교_청계천로_진입,101,도로교차점,0,무,127.0228573,37.5720884,202019.223624,452505.291309
1000012600,교남동주민센터,101,도로교차점,0,무,126.9612058,37.5723948,196572.920368,452539.760351
1000012700,독립문_일반국도48호선_진출_1,101,도로교차점,0,무,126.9611565,37.5724972,196568.573234,452551.127769
1000012900,현저고가차도(동측),104,도로시설물,0,무,126.9633513,37.5724268,196762.452971,452543.23853
1000013000,석탄회관,101,도로교차점,0,무,126.9801287,37.5724733,198244.56873,452547.955888
1000013100,사직터널(남측),104,도로시설물,0,무,126.9639246,37.5724512,196813.102786,452545.933586
1000013200,낙원상가,101,도로교차점,1,유,126.9886795,37.5725763,198999.946397,452559.265526
1000013300,봉익동,101,도로교차점,0,무,126.991532,37.5726052,199251.936068,452562.440532
1000013400,하나로빌딩,101,도로교차점,1,유,126.9865235,37.5726382,198809.48835,452566.152644
1000013500,서울소방본부,101,도로교차점,0,무,126.9785616,37.5726122,198106.138454,452563.407586
1000013700,미국대사관,101,도로교차점,0,무,126.9772355,37.5727318,197988.991818,452576.70302
1000013900,인사동네거리,101,도로교차점,1,유,126.9862395,37.5730172,198784.4058,452608.221478
1000014000,이대병원후문,101,도로교차점,1,유,127.0074609,37.5730358,200659.093811,452610.227464
1000014100,동묘앞역,101,도로교차점,1,유,127.0156343,37.5730228,201381.124912,452608.87019
1000014200,용비어천가,101,도로교차점,1,유,126.9726895,37.5730986,197587.417381,452617.52601
1000014300,대광빌딩,101,도로교차점,1,유,127.0073082,37.5732075,200645.600034,452629.277502
1000014400,기독교회관,101,도로교차점,1,유,127.0020232,37.5732926,200178.72858,452638.709917
1000014500,서울특별시재향군인회,101,도로교차점,1,유,126.9975785,37.5733613,199786.086128,452646.329932
1000014600,종로세무서,101,도로교차점,1,유,126.9876808,37.5735455,198911.734138,452666.845324
1000014700,아람보습학원,101,도로교차점,1,유,127.0175091,37.5735031,201546.733464,452662.209856
1000014800,축구회관,101,도로교차점,0,무,126.9685082,37.5734998,197218.053018,452662.166599
1000014900,충효길-율곡로진입로,101,도로교차점,0,무,127.006955,37.5734941,200614.398454,452661.094214
1000015000,조향빌딩,101,도로교차점,1,유,127.0059828,37.5735624,200528.508446,452668.66081
1000015200,광화문풍림스페이스본,101,도로교차점,0,무,126.9676903,37.5740031,197145.821623,452718.046711
1000015300,서울지방경찰청,101,도로교차점,0,무,126.9734392,37.5740714,197653.669181,452725.476226
1000015400,서울지방경찰청,101,도로교차점,1,유,126.9726796,37.5740827,197586.570713,452726.746229
1000015500,정부서울청사별관,101,도로교차점,1,유,126.9744719,37.574106,197744.897696,452729.286234
1000015600,율곡로-충효길진출로,101,도로교차점,0,무,127.0064075,37.5740882,200566.022307,452727.029009
1010024300,한양공고앞_퇴계로_진입,101,도로교차점,0,무,127.0104773,37.5647758,200925.663185,451693.484735
1010024400,한양공고앞,101,도로교차점,1,유,127.0114015,37.5648844,201007.306391,451705.555211
1010024500,성동여자실업고교앞,101,도로교차점,1,유,127.0123574,37.5649206,201091.76156,451709.576886
1010024700,서울프라자호텔,101,도로교차점,1,유,126.9785108,37.564978,198101.452826,451716.100642
1010024900,금성빌딩,101,도로교차점,1,유,127.0135146,37.565052,201193.996764,451724.181915
1010025000,서대문경찰서,101,도로교차점,1,유,126.9673495,37.5651732,197115.379534,451738.042014
1010025100,덕산빌딩,101,도로교차점,1,유,127.0156637,37.565313,201383.862144,451753.180306
1010025300,서대문아트홀_의주로_진입_1,101,도로교차점,0,무,126.9671253,37.5653672,197095.574823,451759.583353
1010025400,동대문공영주차장,101,도로교차점,0,무,127.0104616,37.5651414,200924.266222,451734.068437
1010025500,신당역,101,도로교차점,1,유,127.0161987,37.5653704,201431.131262,451759.555992
1010025600,동대문패션TV,101,도로교차점,0,무,127.007595,37.5653765,200671.007954,451760.134452
1010025700,동대문역사문화공원입구,101,도로교차점,0,무,127.0097824,37.5654164,200864.260008,451764.579461
1010025800,서대문아트홀_의주로_진출_1,101,도로교차점,0,무,126.967242,37.5654225,197105.886337,451765.72116
1010025900,을지로1가_남대문로_진출_1,101,도로교차점,0,무,126.9826613,37.5654613,198468.15459,451769.661411
1010026000,을지로1가_남대문로_진입_2,101,도로교차점,0,무,126.9825267,37.565476,198456.266051,451771.293171
1010026100,기업은행성동지점,101,도로교차점,1,유,127.0216815,37.565548,201915.520443,451779.36347
1010026300,신당중앙시장,101,도로교차점,1,유,127.0196954,37.5656849,201740.048425,451794.524125
1010026500,동대문운동장_홍인문로_진출_1,101,도로교차점,0,무,127.0077331,37.5655592,200683.202065,451780.410008
1010026700,농협중앙회 중앙본부,101,도로교차점,0,무,126.9680923,37.5657442,197181.021131,451801.391896
1010026800,동대문운동장_홍인문로_진입,101,도로교차점,0,무,127.0076027,37.5655896,200671.686361,451783.784701
1010026900,동대문운동장_을지로_진입_1,101,도로교차점,0,무,127.0084142,37.5657934,200743.377107,451806.410033
1010027000,서대문역,101,도로교차점,1,유,126.9667113,37.5658631,197059.023171,451814.639043
1010027100,을지로1가_을지로_진출_2,101,도로교차점,0,무,126.9818929,37.5659832,198400.282141,451827.595477
1010027200,프레지던트호텔,101,도로교차점,1,유,126.9796865,37.5660136,198205.350499,451831.011397
1010027300,동대문운동장_을지로_진출,101,도로교차점,0,무,127.0072093,37.5660722,200636.925449,451837.343715
1010027400,을지로1가_을지로_진입_1,101,도로교차점,0,무,126.9835143,37.5660132,198543.532407,451830.902691
1010027500,동대문역사문화공원,101,도로교차점,1,유,127.0078275,37.5660077,200691.539662,451830.196259
1010027600,을지로1가,101,도로교차점,1,유,126.9826719,37.5660456,198469.105332,451834.508535
1010027700,을지로4가_배오개길_진입_2,101,도로교차점,0,무,126.9981055,37.5661516,199832.624503,451846.130901
1010027800,하나은행,101,도로교차점,1,유,126.9844183,37.5660906,198623.393002,451839.478081
1010027900,을지로1가_을지로_진입_2,101,도로교차점,0,무,126.9818911,37.5660913,198400.123046,451839.594423
1010028000,을지로2가(외환은행),101,도로교차점,1,유,126.985748,37.5661122,198740.868237,451841.859336
1010028100,동대문운동장_을지로_진입_2,101,도로교차점,0,무,127.0072415,37.5661772,200639.769503,451849.001817
1010028200,을지로1가_을지로_진출_1,101,도로교차점,0,무,126.9835099,37.5661213,198543.146092,451842.896471
1010028300,을지로2가,101,도로교차점,1,유,126.9875388,37.5661529,198899.089386,451846.357261
1010028400,서대문아트홀_일반국도6호선_진,101,도로교차점,0,무,126.9671908,37.5662645,197101.39483,451859.173841
1010028500,타임캐슬 오피스텔,101,도로교차점,1,유,127.0067592,37.5662152,200597.160394,451853.220567
1010028600,을지로3가역,101,도로교차점,1,유,126.989751,37.5662309,199094.524477,451854.982475
1010028700,서대문아트홀_일반국도6호선_진,101,도로교차점,0,무,126.9670853,37.5663326,197092.075131,451866.733153
1010028800,동대문운동장_홍인문로_진출_2,101,도로교차점,0,무,127.0080566,37.5666289,200711.772419,451899.138532
1010028900,을지로3가,101,도로교차점,1,유,126.992623,37.5663789,199348.260401,451871.386674
1010029000,서울적십자병원,101,도로교차점,1,유,126.9673181,37.5664754,197112.652549,451882.577897
1010029100,대림상가앞,101,도로교차점,0,무,126.9955601,37.5665345,199607.746614,451888.637542
1010029200,을지로4가_을지로_진출_2,101,도로교차점,0,무,126.9974814,37.566582,199777.488479,451893.910321
1010029300,을지전화국,101,도로교차점,1,유,127.0044568,37.5666292,200393.74832,451899.152325
1010029600,을지로4가,101,도로교차점,1,유,126.9981208,37.5666701,199833.978826,451903.679576
1010029700,을지로4가_을지로_진입,101,도로교차점,0,무,126.9975221,37.5666925,199781.083203,451906.175828
1010029800,장교빌딩,101,도로교차점,1,유,126.9875762,37.5668264,198902.402197,451921.09669
1010029900,을지로1가_남대문로_진입_1,101,도로교차점,0,무,126.9827605,37.5666187,198476.946173,451898.115965
1010030000,을지로4가_을지로_진출_1,101,도로교차점,0,무,126.9987679,37.5667567,199891.146651,451913.29919
1010030100,중부시장앞,101,도로교차점,1,유,127.0004343,37.5667863,200038.369859,451916.578039
1010030300,기업은행,101,도로교차점,0,무,126.9857506,37.5667918,198741.111874,451917.286683
1010030400,을지로1가_남대문로_진출_2,101,도로교차점,0,무,126.9826247,37.5666216,198464.950711,451898.445964
1010030600,광희초교,101,도로교차점,1,유,127.0161317,37.5668329,201425.178125,451921.878191
1010030700,을지로5가,101,도로교차점,1,유,127.002264,37.5668693,200200.017811,451925.794377
