링크ID,시작노드ID,종료노드ID,시작노드명,종료노드명,도로명,지도거리,표준링크수,기본도로여부,권역코드,권역코드명,소통등급구분코드,소통등급구분코드명,소통제공여부
2330053500,2330026100,2330024200,비봉IC 북측(연결로),비봉IC 남측(본선),서해안고속도로,747.0,1,N,,,10,도시고속,Y
2330053600,2330024200,2330026100,비봉IC 남측(본선),비봉IC 북측(연결로),서해안고속도로,747.0,1,N,,,10,도시고속,Y
2330058200,2330027300,2330026500,-,진천IC 북측(본선),과천~봉담간,494.0,,N,,,20,시내,Y
2330059600,2330027300,2330027700,-,-,과천~봉담간,459.0,,N,,,20,시내,Y
2330059700,2330027700,2330027300,-,-,과천~봉담간,459.0,,N,,,20,시내,Y
2330060300,2330026100,2330028300,비봉IC 북측(연결로),매송IC 남측(본선),서해안고속도로,3618.0,1,N,,,10,도시고속,Y
2330061400,2330028300,2330028500,매송IC 남측(본선),매송IC 북측(본선),서해안고속도로,557.0,1,N,,,10,도시고속,Y
2330061500,2330028500,2330028300,매송IC 북측(본선),매송IC 남측(본선),서해안고속도로,558.0,1,N,,,10,도시고속,Y
2330062201,2330028500,2160004600,매송IC 북측(본선),팔곡JC 남측(서해안선 본선),서해안고속도로,2847.0,1,N,,,10,도시고속,Y
2330062301,2160004600,2330028500,팔곡JC 남측(서해안선 본선),매송IC 북측(본선),서해안고속도로,2824.0,1,N,,,10,도시고속,Y
2333261100,2330120200,2330120500,서오산JC 서측,정남IC 동측,수도권제2순환고속도로,1677.0,1,N,,,10,도시고속,Y
2333261300,2330120900,2330121200,정남IC 서측,봉담영업소,수도권제2순환고속도로,2373.0,1,N,,,10,도시고속,Y
2333261400,2330121600,2330121300,봉담IC 북측,봉담IC 남측,수도권제2순환고속도로,1287.0,1,N,,,10,도시고속,Y
2333261500,2330121300,2330121600,봉담IC 남측,봉담IC 북측,수도권제2순환고속도로,1288.0,1,N,,,10,도시고속,Y
2333261700,2330121200,2330120900,봉담영업소,정남IC 서측,수도권제2순환고속도로,2381.0,1,N,,,10,도시고속,Y
2333262000,2330120900,2330120500,정남IC 서측,정남IC 동측,수도권제2순환고속도로,780.0,1,N,,,10,도시고속,Y
2333264000,2330119900,2330119800,서오산JC 남측,향남IC 동측,평택-화성고속도로,4452.0,1,N,,,10,도시고속,Y
2333264200,2330119600,2330119800,향남IC 남측,향남IC 동측,평택-화성고속도로,538.0,1,N,,,10,도시고속,Y
2333264300,2330119800,2330119600,향남IC 동측,향남IC 남측,평택-화성고속도로,538.0,1,N,,,10,도시고속,Y
2333264900,2330121300,2330121200,봉담IC 남측,봉담영업소,수도권제2순환고속도로,1736.0,1,N,,,10,도시고속,Y
2333265000,2330121200,2330121300,봉담영업소,봉담IC 남측,수도권제2순환고속도로,1743.0,1,N,,,10,도시고속,Y
2333265100,2330120500,2330120200,정남IC 동측,서오산JC 서측,수도권제2순환고속도로,1683.0,1,N,,,10,도시고속,Y
2333328100,2330156700,2330156800,슬항2교남측,슬항2교북측,평택-시흥고속국도,30.0,1,N,,,10,도시고속,Y
2333328300,2330156900,2330157500,송산마도IC남측,송산마도IC북측,평택-시흥고속국도,569.0,1,N,,,10,도시고속,Y
2333328400,2330157500,2330157600,송산마도IC북측,문산천교남측,평택-시흥고속국도,1047.0,1,N,,,10,도시고속,Y
2333328500,2330157600,2330157700,문산천교남측,문산천교북측,평택-시흥고속국도,70.0,1,N,,,10,도시고속,Y
2333328600,2330157700,2330157800,문산천교북측,용포1교남측,평택-시흥고속국도,326.0,1,N,,,10,도시고속,Y
2333328700,2330157800,2330157900,용포1교남측,용포1교북측,평택-시흥고속국도,32.0,1,N,,,10,도시고속,Y
2333328900,2330158000,2330158100,용포교남측,용포교북측,평택-시흥고속국도,31.0,1,N,,,10,도시고속,Y
2333329000,2330158100,2330158200,용포교북측,용포2교남측,평택-시흥고속국도,385.0,1,N,,,10,도시고속,Y
2333329200,2330158300,2330158400,용포2교북측,용포3교남측,평택-시흥고속국도,338.0,1,N,,,10,도시고속,Y
2333329300,2330158400,2330158500,용포3교남측,용포3교북측,평택-시흥고속국도,29.0,1,N,,,10,도시고속,Y
2333329400,2330158500,2330158600,용포3교북측,송산마도휴게소남측,평택-시흥고속국도,126.0,1,N,,,10,도시고속,Y
2333329600,2330158700,2330158800,송산마도휴게소북측,고정1교남측,평택-시흥고속국도,602.0,1,N,,,10,도시고속,Y
2333330300,2330151900,2330151800,독정천교북측,독정천교남측,평택-시흥고속국도,60.0,1,N,,,10,도시고속,Y
2333330400,2330152000,2330151900,대남교남측,독정천교북측,평택-시흥고속국도,1459.0,1,N,,,10,도시고속,Y
2333330600,2330152200,2330152100,장안지하차도남측,대남교북측,평택-시흥고속국도,589.0,1,N,,,10,도시고속,Y
2333330700,2330152300,2330152200,장안지하차도북측,장안지하차도남측,평택-시흥고속국도,52.0,1,N,,,10,도시고속,Y
2333330800,2330152400,2330152300,장안TG,장안지하차도북측,평택-시흥고속국도,717.0,1,N,,,10,도시고속,Y
2333331100,2330152700,2330152600,수촌1교남측,어은교북측,평택-시흥고속국도,593.0,1,N,,,10,도시고속,Y
2333331200,2330152800,2330152700,수촌1교북측,수촌1교남측,평택-시흥고속국도,38.0,1,N,,,10,도시고속,Y
2333332600,2330158900,2330159000,고정1교북측,고정2교남측,평택-시흥고속국도,211.0,1,N,,,10,도시고속,Y
2333332700,2330159000,2330159100,고정2교남측,고정2교북측,평택-시흥고속국도,83.0,1,N,,,10,도시고속,Y
2333332800,2330159100,2330159200,고정2교북측,고정3교남측,평택-시흥고속국도,641.0,1,N,,,10,도시고속,Y
2333333100,2140071700,2330151100,평택-화성경계,남양호교서측,평택-시흥고속국도,99.0,1,N,,,10,도시고속,Y
2333333200,2170063400,2330159800,화성-안산경계,시화대교남측,평택-시흥고속국도,558.0,1,N,,,10,도시고속,Y
2333333300,2330152900,2330153000,수촌2교남측,수촌2교북측,평택-시흥고속국도,33.0,1,N,,,10,도시고속,Y
2333333500,2330152900,2330152800,수촌2교남측,수촌1교북측,평택-시흥고속국도,107.0,1,N,,,10,도시고속,Y
2333333600,2330152800,2330152900,수촌1교북측,수촌2교남측,평택-시흥고속국도,107.0,1,N,,,10,도시고속,Y
2333333900,2330151200,2330151100,덕정3리천교동측,남양호교서측,평택-시흥고속국도,130.0,1,N,,,10,도시고속,Y
2333334200,2330153200,2330153100,금의1교북측,금의1교남측,평택-시흥고속국도,32.0,1,N,,,10,도시고속,Y
2333334300,2330153300,2330153200,금의2교남측,금의1교북측,평택-시흥고속국도,442.0,1,N,,,10,도시고속,Y
2333334400,2330153400,2330153300,금의2교북측,금의2교남측,평택-시흥고속국도,54.0,1,N,,,10,도시고속,Y
2333334600,2330153700,2330153500,조암IC북측,조암IC남측,평택-시흥고속국도,645.0,1,N,,,10,도시고속,Y
2333334700,2330153900,2330153700,주곡1교남측,조암IC북측,평택-시흥고속국도,1000.0,1,N,,,10,도시고속,Y
1050009301,1050016100,1050002700,청량리교회,숭인중학교,황물로,198.0,1,Y,105,동대문구,20,시내,Y
1050004801,1050007600,1050008200,답십리1동,답십리초교,황물로,232.0,1,Y,105,동대문구,20,시내,Y
1050006700,1050002700,1050002000,숭인중학교,신답육교,황물로,483.0,1,Y,105,동대문구,20,시내,Y
1050004704,1050002000,1050009100,신답육교,답십리근린생활시설,황물로,288.0,1,Y,105,동대문구,20,시내,Y
1050004802,1050008200,1050008500,답십리초교,삼희아파트,황물로,105.0,1,Y,105,동대문구,20,시내,Y
1050004703,1050009100,1050008500,답십리근린생활시설,삼희아파트,황물로,119.0,1,Y,105,동대문구,20,시내,Y
1050004803,1050008500,1050009100,삼희아파트,답십리근린생활시설,황물로,119.0,1,Y,105,동대문구,20,시내,Y
1050004702,1050008500,1050008200,삼희아파트,답십리초교,황물로,105.0,1,Y,105,동대문구,20,시내,Y
1050004804,1050009100,1050002000,답십리근린생활시설,신답육교,황물로,289.0,1,Y,105,동대문구,20,시내,Y
1050004701,1050008200,1050007600,답십리초교,답십리1동,황물로,232.0,1,Y,105,동대문구,20,시내,Y
1050006800,1050002000,1050002700,신답육교,숭인중학교,황물로,483.0,1,Y,105,동대문구,20,시내,Y
1030017302,1050007600,1050007300,답십리1동,답십리5지구대,황물로,186.0,1,Y,103,성동구,20,시내,Y
1050009401,1050002700,1050016100,숭인중학교,청량리교회,황물로,189.0,1,Y,105,동대문구,20,시내,Y
1030017301,1050007300,1050006700,답십리5지구대,군자초교,황물로,189.0,1,Y,103,성동구,20,시내,Y
1050009402,1050016100,1050017600,청량리교회,전농119안전센터,황물로,173.0,1,Y,105,동대문구,20,시내,Y
2333335000,2330154200,2330154100,주곡2교북측,주곡2교남측,평택-시흥고속국도,26.0,1,N,,,10,도시고속,Y
2333335100,2330154300,2330154200,주곡3교남측,주곡2교북측,평택-시흥고속국도,125.0,1,N,,,10,도시고속,Y
2333335200,2330154400,2330154300,주곡3교북측,주곡3교남측,평택-시흥고속국도,25.0,1,N,,,10,도시고속,Y
2333335400,2330154600,2330154500,화옹교북측,화옹교남측,평택-시흥고속국도,35.0,1,N,,,10,도시고속,Y
2333335600,2330154800,2330154700,화성교북측,화성교남측,평택-시흥고속국도,122.0,1,N,,,10,도시고속,Y
2333335800,2330151400,2330151300,장안교동측,덕정3리천교서측,평택-시흥고속국도,410.0,1,N,,,10,도시고속,Y
2333335900,2330151500,2330151400,장안교서측,장안교동측,평택-시흥고속국도,26.0,1,N,,,10,도시고속,Y
2333336000,2330151600,2330151500,정든교남측,장안교서측,평택-시흥고속국도,651.0,1,N,,,10,도시고속,Y
2333336100,2330151700,2330151600,정든교북측,정든교남측,평택-시흥고속국도,35.0,1,N,,,10,도시고속,Y
2333336200,2330151100,2330151200,남양호교서측,덕정3리천교동측,평택-시흥고속국도,130.0,1,N,,,10,도시고속,Y
2333336400,2330151300,2330151400,덕정3리천교서측,장안교동측,평택-시흥고속국도,409.0,1,N,,,10,도시고속,Y
2333336500,2330151400,2330151500,장안교동측,장안교서측,평택-시흥고속국도,26.0,1,N,,,10,도시고속,Y
2333336600,2330151500,2330151600,장안교서측,정든교남측,평택-시흥고속국도,647.0,1,N,,,10,도시고속,Y
2333336700,2330151600,2330151700,정든교남측,정든교북측,평택-시흥고속국도,35.0,1,N,,,10,도시고속,Y
2333336800,2330151700,2330151800,정든교북측,독정천교남측,평택-시흥고속국도,909.0,1,N,,,10,도시고속,Y
2333336900,2330151800,2330151900,독정천교남측,독정천교북측,평택-시흥고속국도,60.0,1,N,,,10,도시고속,Y
2333337100,2330159500,2330159600,음섬1교북측,음섬2교남측,평택-시흥고속국도,2493.0,1,N,,,10,도시고속,Y
2333337200,2330159600,2330159700,음섬2교남측,음섬2교북측,평택-시흥고속국도,32.0,1,N,,,10,도시고속,Y
2333337300,2330159700,2330159800,음섬2교북측,시화대교남측,평택-시흥고속국도,845.0,1,N,,,10,도시고속,Y
2333337400,2330155000,2330154900,남양교북측,남양교남측,평택-시흥고속국도,242.0,1,N,,,10,도시고속,Y
2333337500,2330155100,2330155000,장덕교남측,남양교북측,평택-시흥고속국도,1819.0,1,N,,,10,도시고속,Y
2333337700,2330155300,2330155200,마도교남측,장덕교북측,평택-시흥고속국도,563.0,1,N,,,10,도시고속,Y
2333337800,2330155400,2330155300,마도교북측,마도교남측,평택-시흥고속국도,298.0,1,N,,,10,도시고속,Y
